X,river,site,year_from,year_to,year1_channel_area_m2,year2_channel_area_m2,deposition_area,erosion_area,net_change,year1_channel_length_m,year2_channel_length_m,year1_sdi,year2_sdi,sdi_change,year1_complexity,year2_complexity,complexity_change,year1_sinuosity,year2_sinuosity,sinuosity_change,year1_accum_area,year2_accum_area,year1_piece_count,year2_piece_count,year1_piece_channel_ratio,year1_piece_outside_ratio,year1_piece_inside_ratio,year1_piece_middle_ratio,year1_piece_island_ratio,year1_piece_spanning_ratio,year2_piece_channel_ratio,year2_piece_outside_ratio,year2_piece_inside_ratio,year2_piece_middle_ratio,year2_piece_island_ratio,year1_accum_area_ratio,year1_accum_outside_ratio,year1_accum_inside_ratio,year1_accum_middle_ratio,year1_accum_island_ratio,year1_accum_spanning_ratio,year2_accum_area_ratio,year2_accum_outside_ratio,year2_accum_inside_ratio,year2_accum_middle_ratio,year2_accum_island_ratio,river_site
13,Indian,LW_Channel,2019,2021,34045.50974,21737.43029,12722.00937,413.9299063,12308.07947,886.7633615,676.4461594,2.823491768,2.696149115,-0.127342653,2.082637276,2.083145983,0.000508707,1.711764017,1.298963553,-0.412800464,385.851766,65.0907278,4,6,0.00011749,5.87E-05,0,5.87E-05,0,0,0.000276022,5.87E-05,8.81E-05,0,0,0.011333411,5.87E-05,0,0,0,0,0.002994408,2.94E-05,0,0,0,Indian
14,Indian,LW_Channel,2021,2023,21737.43029,21419.66417,3193.489789,2875.72393,317.7658595,676.4461594,669.316334,2.696149115,2.719652543,0.023503429,2.083145983,2.10810996,0.024963977,1.298963553,1.293872223,-0.00509133,65.0907278,190.2487838,6,4,0.000276022,9.20E-05,0.000138011,0,0,4.60E-05,0.000186744,4.60E-05,4.60E-05,0,4.60E-05,0.002994408,4.60E-05,0,0,0,0,0.008881969,4.60E-05,4.60E-05,0,0,Indian
15,Indian,no_LW_Channel,2004,2005,18052.58698,18634.50776,979.4395326,1561.360334,-581.920801,661.7325287,664.5100901,2.888607035,2.859297009,-0.029310026,2.079125169,2.082195889,0.00307072,1.380376735,1.383116473,0.002739739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
16,Indian,no_LW_Channel,2005,2006,18634.50776,17122.44638,2484.662031,972.6006099,1512.061421,664.5100901,672.8474475,2.859297009,2.981957435,0.122660426,2.082195889,2.055761225,-0.026434664,1.383116473,1.398522262,0.015405788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
17,Indian,no_LW_Channel,2006,2007,17122.44638,19421.10982,613.5591322,2912.222526,-2298.663394,672.8474475,665.3860084,2.981957435,2.813013929,-0.168943506,2.055761225,2.088527377,0.032766152,1.398522262,1.38399621,-0.014526052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
18,Indian,no_LW_Channel,2007,2008,19421.10982,19732.89501,2199.675258,2511.460427,-311.7851684,665.3860084,675.7891124,2.813013929,2.834043343,0.021029413,2.088527377,2.088313191,-0.000214185,1.38399621,1.400115167,0.016118957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
19,Indian,no_LW_Channel,2008,2009,19732.89501,19983.25231,1512.561917,1762.919219,-250.3573022,675.7891124,673.9874783,2.834043343,2.779797509,-0.054245833,2.088313191,2.066804276,-0.021508915,1.400115167,1.402060526,0.001945359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
20,Indian,no_LW_Channel,2009,2010,19983.25231,23731.68531,905.5972711,4654.030373,-3748.433102,673.9874783,672.7840629,2.779797509,2.582995612,-0.196801897,2.066804276,2.096607792,0.029803516,1.402060526,1.397197045,-0.00486348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
21,Indian,no_LW_Channel,2010,2011,23731.68531,23943.04995,1358.949409,1570.314097,-211.364688,672.7840629,672.8486925,2.582995612,2.603994396,0.020998784,2.096607792,2.122840185,0.026232393,1.397197045,1.389465152,-0.007731894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
22,Indian,no_LW_Channel,2011,2013,23943.04995,24840.12082,1132.414425,2029.485153,-897.0707283,672.8486925,678.2918074,2.603994396,2.5541377,-0.049856696,2.122840185,2.103824556,-0.019015629,1.389465152,1.397572372,0.00810722,0,60.16392302,0,2,0,0,0,0,0,0,8.05E-05,4.18E-05,0,4.18E-05,0,0,0,0,0,0,0,0.002422046,4.18E-05,0,0,0,Indian
23,Indian,no_LW_Channel,2013,2014,24840.12082,24559.25261,1746.89521,1466.027034,280.8681768,678.2918074,677.7170531,2.5541377,2.544254348,-0.009883352,2.103824556,2.085569259,-0.018255297,1.397572372,1.396388131,-0.001184241,60.16392302,0,2,0,8.05E-05,4.03E-05,0,4.03E-05,0,0,0,0,0,0,0,0.002422046,4.03E-05,0,0,0,0,0,0,0,0,0,Indian
24,Indian,no_LW_Channel,2014,2015,24559.25261,25724.00387,1537.75445,2702.505729,-1164.751279,677.7170531,679.7709329,2.544254348,2.516156637,-0.028097711,2.085569259,2.104501785,0.018932526,1.396388131,1.404501035,0.008112904,0,225.667889,0,1,0,0,0,0,0,0,3.89E-05,4.07E-05,0,0,0,0,0,0,0,0,0,0.008772658,8.14E-05,0,4.07E-05,0,Indian
25,Indian,no_LW_Channel,2015,2017,25724.00387,23905.3015,3834.734415,2016.032157,1818.702258,679.7709329,690.112227,2.516156637,2.603753733,0.087597096,2.104501785,2.067912833,-0.036588952,1.404501035,1.427236564,0.022735529,225.667889,0,1,0,3.89E-05,3.89E-05,0,0,0,0,0,0,0,0,0,0.008772658,7.77E-05,0,3.89E-05,0,0,0,0,0,0,0,Indian
26,Indian,no_LW_Channel,2017,2019,23905.3015,27204.69935,1067.911123,4367.308973,-3299.39785,690.112227,680.5134105,2.603753733,2.432921082,-0.170832651,2.067912833,2.090346256,0.022433423,1.427236564,1.404332555,-0.022904008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
27,Indian,no_LW_Channel,2019,2021,27204.69935,23854.38821,4596.853812,1246.542704,3350.311108,680.5134105,814.9397022,2.432921082,2.782191867,0.349270786,2.090346256,1.869178056,-0.2211682,1.404332555,1.6753006,0.270968045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
28,Indian,no_LW_Channel,2021,2023,23854.38821,21715.01882,3929.444135,1790.074718,2139.369417,814.9397022,872.9722597,2.782191867,3.241303768,0.459111901,1.869178056,1.939564952,0.070386895,1.6753006,1.816325399,0.141024799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian
1,Nyack,LW_Channel,2005,2009,81752.08678,84988.96298,12826.53912,16063.41375,-3236.874631,3603.259146,3567.955368,7.038735712,6.494127529,-0.544608183,1.97994678,1.880994808,-0.098951972,4.063964388,4.024146743,-0.039817645,4724.547027,7305.664963,18,8,0.000220178,1.22E-05,9.79E-05,0,3.67E-05,7.34E-05,9.41E-05,1.22E-05,6.12E-05,0,0,0.057791149,2.45E-05,3.67E-05,0,0,9.79E-05,0.085960161,3.67E-05,3.67E-05,0,4.89E-05,Nyack
2,Nyack,LW_Channel,2009,2011,84988.96298,80543.83755,12105.01926,7659.89402,4445.125239,3567.955368,3328.767407,6.494127529,6.301883491,-0.192244038,1.880994808,1.904618551,0.023623743,4.024146743,3.754376705,-0.269770038,7305.664963,8620.045471,8,8,9.41E-05,1.18E-05,5.88E-05,0,0,2.35E-05,9.93E-05,4.71E-05,2.35E-05,0,1.18E-05,0.085960161,3.53E-05,3.53E-05,0,4.71E-05,7.06E-05,0.107023029,1.18E-05,4.71E-05,0,0,Nyack
3,Nyack,LW_Channel,2011,2013,80543.83755,81458.56333,8635.456625,9550.182774,-914.72615,3328.767407,3335.474488,6.301883491,6.332707679,0.030824188,1.904618551,1.920901621,0.01628307,3.754376705,3.76194134,0.007564634,8620.045471,8217.521442,8,16,9.93E-05,4.97E-05,2.48E-05,0,1.24E-05,1.24E-05,0.000196419,4.97E-05,4.97E-05,2.48E-05,1.24E-05,0.107023029,1.24E-05,4.97E-05,0,0,8.69E-05,0.100879774,1.24E-05,8.69E-05,0,2.48E-05,Nyack
4,Nyack,LW_Channel,2013,2016,81458.56333,82991.91121,9771.43976,11304.78687,-1533.347105,3335.474488,3607.444387,6.332707679,6.59707427,0.264366591,1.920901621,1.867559915,-0.053341706,3.76194134,4.068684746,0.306743406,8217.521442,7089.268474,16,16,0.000196419,4.91E-05,4.91E-05,2.46E-05,1.23E-05,6.14E-05,0.00019279,1.23E-05,3.68E-05,4.91E-05,3.68E-05,0.100879774,1.23E-05,8.59E-05,0,2.46E-05,8.59E-05,0.085421198,2.46E-05,2.46E-05,0,1.23E-05,Nyack
5,Nyack,LW_Channel,2016,2017,82991.91121,65327.6878,19181.83266,1517.609392,17664.22326,3607.444387,3380.1388,6.59707427,6.567279649,-0.02979462,1.867559915,1.760372401,-0.107187514,4.068684746,3.812316338,-0.256368408,7089.268474,5499.019237,16,6,0.00019279,1.20E-05,3.61E-05,4.82E-05,3.61E-05,6.02E-05,9.18E-05,2.41E-05,1.20E-05,1.20E-05,2.41E-05,0.085421198,2.41E-05,2.41E-05,0,1.20E-05,8.43E-05,0.084175936,0,0,0,2.41E-05,Nyack
6,Nyack,LW_Channel,2017,2021,65327.6878,75119.66874,4109.926021,13901.90673,-9791.980713,3380.1388,3425.363547,6.567279649,6.857575469,0.29029582,1.760372401,1.945116815,0.184744414,3.812316338,3.863323427,0.051007089,5499.019237,6181.18037,6,13,9.18E-05,3.06E-05,1.53E-05,1.53E-05,3.06E-05,0,0.000173057,0.000107152,3.06E-05,0,4.59E-05,0.084175936,0,0,0,3.06E-05,0.000107152,0.082284447,6.12E-05,4.59E-05,0,3.06E-05,Nyack
7,Nyack,no_LW_Channel,2005,2009,47392.18531,56959.29272,547.5337414,10114.64051,-9567.106769,2473.558385,2786.161099,4.775950937,5.357855192,0.581904255,1.490033355,1.626941635,0.13690828,3.643269248,4.103697375,0.460428127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyack
8,Nyack,no_LW_Channel,2009,2011,56959.29272,55337.13968,5815.107414,4192.954223,1622.153191,2786.161099,2654.459734,5.357855192,5.177126778,-0.180728415,1.626941635,1.626394675,-0.00054696,4.103697375,3.909716294,-0.193981081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyack
9,Nyack,no_LW_Channel,2011,2013,55337.13968,55838.27089,4882.255988,5383.389432,-501.1334448,2654.459734,2639.746163,5.177126778,4.928564168,-0.24856261,1.626394675,1.563972673,-0.062422002,3.909716294,3.888044882,-0.021671411,0,366.1801582,0,5,0,0,0,0,0,0,8.95E-05,0,0,0,3.61E-05,0,0,0,0,0,0,0.006557871,1.81E-05,0,0,0,Nyack
10,Nyack,no_LW_Channel,2013,2016,55838.27089,54988.00874,4551.583718,3701.32163,850.262088,2639.746163,2624.427786,4.928564168,4.931603593,0.003039425,1.563972673,1.562041118,-0.001931556,3.888044882,3.865482661,-0.022562222,366.1801582,314.9464514,5,5,8.95E-05,0,0,0,3.58E-05,5.37E-05,9.09E-05,3.58E-05,0,1.79E-05,0,0.006557871,1.79E-05,0,0,0,3.58E-05,0.005727548,1.79E-05,0,0,0,Nyack
11,Nyack,no_LW_Channel,2016,2017,54988.00874,59275.24288,2667.279746,6954.514392,-4287.234646,2624.427786,2584.981508,4.931603593,4.718426516,-0.213177077,1.562041118,1.575365601,0.013324484,3.865482661,3.807382794,-0.058099867,314.9464514,0,5,0,9.09E-05,3.64E-05,0,1.82E-05,0,3.64E-05,0,0,0,0,0,0.005727548,1.82E-05,0,0,0,1.82E-05,0,0,0,0,0,Nyack
12,Nyack,no_LW_Channel,2017,2021,59275.24288,50718.73537,11557.67394,3001.165632,8556.508304,2584.981508,2835.943706,4.718426516,5.561384898,0.842958383,1.575365601,1.565577199,-0.009788402,3.807382794,4.176074285,0.368691492,0,77.35873906,0,4,0,0,0,0,0,0,7.89E-05,3.37E-05,0,1.69E-05,1.69E-05,0,0,0,0,0,0,0.00152525,1.69E-05,0,0,0,Nyack
1,Rock_WA_1,LW_Channel,2006,2009,26540.88028,38522.82669,3830.633086,15812.5787,-11981.94561,1138.501035,1457.057934,4.251234129,4.116018464,-0.135215665,2.156473807,1.965461312,-0.191012496,1.825225053,2.348818792,0.523593739,318.0326135,3687.494984,0,3,0,0,0,0,0,0,7.79E-05,0,0,3.77E-05,0,0.011982745,0,3.77E-05,0,0,3.77E-05,0.095722337,0,7.54E-05,0,0,Rock_WA_1
2,Rock_WA_1,LW_Channel,2009,2011,38522.82669,37078.81614,6506.94843,5062.937755,1444.010675,1457.057934,1587.761717,4.116018464,4.386350147,0.270331683,1.965461312,1.885757451,-0.07970386,2.348818792,2.556779831,0.207961039,3687.494984,4105.629802,3,4,7.79E-05,0,0,2.60E-05,0,5.19E-05,0.000107878,0,2.60E-05,0,0,0.095722337,0,5.19E-05,0,0,7.79E-05,0.110727101,2.60E-05,5.19E-05,0,0,Rock_WA_1
3,Rock_WA_1,LW_Channel,2011,2013,37078.81614,38665.27144,7130.04575,8716.501404,-1586.455653,1587.761717,1489.331051,4.386350147,4.182310898,-0.204039249,1.885757451,1.957449349,0.071691898,2.556779831,2.39540941,-0.161370421,4105.629802,681.690206,4,1,0.000107878,0,2.70E-05,0,0,8.09E-05,2.59E-05,0,2.70E-05,0,0,0.110727101,2.70E-05,5.39E-05,0,0,8.09E-05,0.017630555,2.70E-05,0,0,0,Rock_WA_1
4,Rock_WA_1,LW_Channel,2013,2015,38665.27144,33922.55963,9518.171356,4775.457314,4742.714042,1489.331051,1455.060985,4.182310898,4.427962258,0.24565136,1.957449349,1.986881444,0.029432095,2.39540941,2.338110931,-0.057298479,681.690206,1382.982555,1,2,2.59E-05,0,2.59E-05,0,0,0,5.90E-05,0,2.59E-05,0,0,0.017630555,2.59E-05,0,0,0,2.59E-05,0.040768815,0,2.59E-05,0,0,Rock_WA_1
5,Rock_WA_1,LW_Channel,2015,2017,33922.55963,30313.78853,8661.339396,5052.569165,3608.77023,1455.060985,1479.663875,4.427962258,4.908446683,0.480484425,1.986881444,2.047415785,0.060534341,2.338110931,2.388927654,0.050816723,1382.982555,1661.458171,2,3,5.90E-05,0,2.95E-05,0,0,2.95E-05,9.90E-05,0,5.90E-05,0,0,0.040768815,0,2.95E-05,0,0,8.84E-05,0.054808661,5.90E-05,2.95E-05,0,0,Rock_WA_1
6,Rock_WA_1,LW_Channel,2017,2019,30313.78853,39245.66242,4535.316473,13467.18984,-8931.873372,1479.663875,1337.752993,4.908446683,3.878910704,-1.029535979,2.047415785,2.036266491,-0.011149294,2.388927654,2.154541808,-0.234385846,1661.458171,1529.272262,3,2,9.90E-05,0,6.60E-05,0,0,3.30E-05,5.10E-05,0,0,0,0,0.054808661,6.60E-05,3.30E-05,0,0,0.000131953,0.038966657,3.30E-05,3.30E-05,0,0,Rock_WA_1
7,Rock_WA_1,LW_Channel,2019,2023,39245.66242,35289.49137,13353.35435,9397.182825,3956.171528,1337.752993,1838.763391,3.878910704,4.714065136,0.835154432,2.036266491,1.707250946,-0.329015546,2.154541808,2.972702587,0.818160779,1529.272262,4559.74636,2,5,5.10E-05,0,0,0,0,5.10E-05,0.000141685,0,7.64E-05,2.55E-05,0,0.038966657,2.55E-05,2.55E-05,0,0,5.10E-05,0.12920975,5.10E-05,2.55E-05,0,2.55E-05,Rock_WA_1
8,Rock_WA_1,no_LW_Channel,2006,2009,57809.38952,71138.18336,10390.83877,23719.63249,-13328.79372,2783.779272,2692.936121,5.497501422,4.169451825,-1.328049597,1.683195949,1.463892635,-0.219303313,3.870874024,3.744555677,-0.126318347,0,591.5797874,0,8,0,0,0,0,0,0,0.000112457,0,0,0.000138386,0,0,0,0,0,0,0,0.008315925,0,0,1.73E-05,1.73E-05,Rock_WA_1
9,Rock_WA_1,no_LW_Channel,2009,2011,71138.18336,58213.14771,19170.89678,6245.861505,12925.03527,2692.936121,1834.214107,4.169451825,2.774456295,-1.39499553,1.463892635,1.293729056,-0.170163579,3.744555677,2.550493787,-1.19406189,591.5797874,372.5295399,8,11,0.000112457,0,0,0.000112457,0,0,0.000188961,0,0,0.000154629,0,0.008315925,0,0,1.41E-05,1.41E-05,0,0.006399406,0,0,0,1.41E-05,Rock_WA_1
10,Rock_WA_1,no_LW_Channel,2011,2013,58213.14771,55576.35537,2803.76463,166.9722902,2636.79234,1834.214107,1643.788658,2.774456295,2.918750066,0.144293771,1.293729056,1.48388721,0.190158154,2.550493787,2.285705221,-0.264788566,372.5295399,0,11,10,0.000188961,0,0,0.000188961,0,0,0.000179933,0,3.44E-05,0.000137426,0,0.006399406,0,0,0,1.72E-05,0,0,0,0,0,0,Rock_WA_1
11,Rock_WA_1,no_LW_Channel,2013,2015,55576.35537,53579.4429,3539.375631,1542.463194,1996.912437,1643.788658,1489.403972,2.918750066,3.209986581,0.291236516,1.48388721,1.768457951,0.284570741,2.285705221,2.07103171,-0.214673511,0,0,10,6,0.000179933,0,3.60E-05,0.000143946,0,0,0.000111983,0,0,0.00010796,0,0,0,0,0,0,0,0,0,0,0,0,Rock_WA_1
12,Rock_WA_1,no_LW_Channel,2015,2017,53579.4429,48195.05406,9162.442764,3778.053943,5384.388821,1489.403972,2025.411048,3.209986581,3.723764326,0.513777745,1.768457951,1.430787642,-0.337670309,2.07103171,2.816355122,0.745323412,0,226.8003229,6,7,0.000111983,0,0,0.000111983,0,0,0.000145243,1.87E-05,5.60E-05,5.60E-05,0,0,0,0,0,0,0,0.004705884,0,0,1.87E-05,0,Rock_WA_1
13,Rock_WA_1,no_LW_Channel,2017,2019,48195.05406,51178.60586,6049.000934,9032.551779,-2983.550844,2025.411048,1745.992118,3.723764326,3.868357508,0.144593183,1.430787642,1.776779288,0.345991646,2.816355122,2.427820196,-0.388534926,226.8003229,331.6913378,7,12,0.000145243,2.07E-05,6.22E-05,6.22E-05,0,0,0.000234473,0.000103745,0,0.000145243,0,0.004705884,0,0,2.07E-05,0,0,0.006481055,2.07E-05,0,2.07E-05,0,Rock_WA_1
14,Rock_WA_1,no_LW_Channel,2019,2023,51178.60586,45444.95905,11785.88667,6052.241287,5733.645385,1745.992118,1969.720173,3.868357508,4.332145178,0.463787669,1.776779288,1.662058324,-0.114720964,2.427820196,2.738916382,0.311096186,331.6913378,192.5829601,12,14,0.000234473,9.77E-05,0,0.000136776,0,0,0.000308065,5.86E-05,5.86E-05,0.000156315,0,0.006481055,1.95E-05,0,1.95E-05,0,0,0.004237719,0,0,0,1.95E-05,Rock_WA_1
1,Rock_WA_2,LW_Channel,2006,2009,37450.9142,52548.34366,6318.077569,21415.50767,-15097.4301,2252.481771,2604.355038,5.941152199,5.211190425,-0.729961774,1.809445626,1.626002474,-0.183443152,2.738075439,3.145488168,0.407412729,1670.990581,6046.648442,2,4,5.34E-05,0,0,0,0,5.34E-05,7.61E-05,2.67E-05,0,0,8.01E-05,0.044618152,0,0,0,2.67E-05,0.000133508,0.115068298,0,8.01E-05,0,5.34E-05,Rock_WA_2
2,Rock_WA_2,LW_Channel,2009,2011,52548.34366,51890.32333,7449.642827,6791.622435,658.0203922,2604.355038,2553.376544,5.211190425,5.112925388,-0.098265037,1.626002474,1.616972787,-0.009029686,3.145488168,3.076490067,-0.0689981,6046.648442,4663.135128,4,2,7.61E-05,1.90E-05,0,0,5.71E-05,0,3.85E-05,0,0,0,0,0.115068298,0,5.71E-05,0,3.81E-05,9.52E-05,0.089865216,1.90E-05,7.61E-05,0,3.81E-05,Rock_WA_2
3,Rock_WA_2,LW_Channel,2011,2013,51890.32333,48906.64758,10164.61161,7180.935907,2983.675705,2553.376544,2304.127352,5.112925388,4.999259254,-0.113666135,1.616972787,1.700936336,0.083963549,3.076490067,2.773834663,-0.302655405,4663.135128,2013.321719,2,5,3.85E-05,0,0,0,0,3.85E-05,0.000102236,3.85E-05,1.93E-05,0,0,0.089865216,1.93E-05,7.71E-05,0,3.85E-05,7.71E-05,0.041166627,3.85E-05,1.93E-05,0,3.85E-05,Rock_WA_2
4,Rock_WA_2,LW_Channel,2013,2015,48906.64758,46504.90248,11703.49151,9301.746301,2401.745211,2304.127352,2191.582712,4.999259254,4.776863297,-0.222395957,1.700936336,1.666246492,-0.034689844,2.773834663,2.642659186,-0.131175476,2013.321719,2742.381184,5,5,0.000102236,4.09E-05,2.04E-05,0,0,4.09E-05,0.000107516,4.09E-05,4.09E-05,0,0,0.041166627,4.09E-05,2.04E-05,0,4.09E-05,6.13E-05,0.058969722,0,6.13E-05,0,0,Rock_WA_2
5,Rock_WA_2,LW_Channel,2015,2017,46504.90248,53101.96319,8606.360135,15203.413,-6597.052863,2191.582712,2438.868787,4.776863297,5.014467244,0.237603947,1.666246492,1.679564102,0.01331761,2.642659186,2.961063891,0.318404705,2742.381184,2366.17282,5,4,0.000107516,4.30E-05,4.30E-05,0,0,2.15E-05,7.53E-05,2.15E-05,4.30E-05,0,0,0.058969722,0,6.45E-05,0,0,0.000107516,0.044559046,2.15E-05,4.30E-05,0,2.15E-05,Rock_WA_2
